================================================================================
UDP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
10.11.11.200:137           <-> 10.11.11.255:137                 0 0 bytes        94 9062 bytes      94 9062 bytes    18.459259000       238.2371
10.11.11.203:137           <-> 10.11.11.255:137                 0 0 bytes        71 6946 bytes      71 6946 bytes    68.421282000       830.6155
10.11.11.94:5353           <-> 224.0.0.251:5353                 0 0 bytes        25 2469 bytes      25 2469 bytes    62.452394000         6.4056
10.11.11.179:5353          <-> 224.0.0.251:5353                 0 0 bytes        16 6056 bytes      16 6056 bytes    17.174088000       121.3098
10.11.11.94:53357          <-> 172.217.12.36:443                7 2967 bytes       7 2943 bytes      14 5910 bytes    91.143022000        15.0902
10.11.11.179:59877         <-> 10.11.11.11:53                   3 413 bytes      11 980 bytes      14 1393 bytes   107.384081000        23.9725
10.11.11.217:51370         <-> 10.11.11.11:53                   3 424 bytes      11 994 bytes      14 1418 bytes   164.474973000        26.8260
10.11.11.179:137           <-> 10.11.11.255:137                 0 0 bytes        12 1212 bytes      12 1212 bytes     7.303890000        46.9189
10.11.11.94:60157          <-> 216.58.194.46:443                6 4714 bytes       6 3626 bytes      12 8340 bytes   105.845003000         0.1196
10.11.11.217:57872         <-> 10.11.11.11:53                   3 348 bytes       8 648 bytes      11 996 bytes   213.165666000        29.6954
10.11.11.179:58562         <-> 10.11.11.11:53                   2 204 bytes       8 620 bytes      10 824 bytes     6.128500000        19.7319
10.11.11.200:62015         <-> 10.11.11.11:53                   5 435 bytes       5 380 bytes      10 815 bytes    37.027415000        18.1859
10.11.11.94:50936          <-> 172.217.1.227:443                5 2607 bytes       5 2160 bytes      10 4767 bytes    91.226052000        15.0838
10.11.11.179:50654         <-> 10.11.11.11:53                   2 348 bytes       8 624 bytes      10 972 bytes   106.382442000        18.8810
10.11.11.179:61786         <-> 10.11.11.11:53                   2 244 bytes       8 660 bytes      10 904 bytes   106.481655000        22.8137
10.11.11.179:59143         <-> 10.11.11.11:53                   2 326 bytes       8 708 bytes      10 1034 bytes   106.501916000        20.8134
10.11.11.217:62844         <-> 10.11.11.11:53                   2 229 bytes       8 680 bytes      10 909 bytes   141.316255000        21.4618
10.11.11.217:63488         <-> 10.11.11.11:53                   2 232 bytes       8 716 bytes      10 948 bytes   144.948646000        23.8918
10.11.11.200:55051         <-> 10.11.11.11:53                   5 685 bytes       5 360 bytes      10 1045 bytes   186.578412000        19.7794
