================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
10.11.11.200:49230         <-> 104.18.74.113:443              462 563 kB        404 26 kB         866 589 kB      229.073020000        85.1625
10.11.11.200:49212         <-> 151.101.50.208:443             271 356 kB        266 17 kB         537 373 kB      204.198204000       110.0335
10.11.11.200:49210         <-> 151.101.50.208:443             246 319 kB        237 16 kB         483 335 kB      204.197416000       110.0325
10.11.11.200:49201         <-> 151.101.50.208:443             222 285 kB        216 14 kB         438 300 kB      204.186975000       110.0447
10.11.11.200:49204         <-> 151.101.50.208:443             212 273 kB        203 14 kB         415 287 kB      204.186977000       110.0430
10.11.11.200:49203         <-> 151.101.50.208:443             193 246 kB        185 12 kB         378 259 kB      204.186976000       110.0437
10.11.11.203:49196         <-> 188.95.248.71:80               290 405 kB         86 5474 bytes     376 410 kB      175.025144000         2.0114
10.11.11.179:50290         <-> 172.217.1.225:443              199 268 kB        158 11 kB         357 280 kB      165.727308000        36.5702
10.11.11.200:49211         <-> 151.101.50.208:443             160 201 kB        154 11 kB         314 212 kB      204.197417000       110.0335
10.11.11.179:50281         <-> 172.217.6.162:443              166 173 kB        146 14 kB         312 187 kB      145.452794000        58.0249
10.11.11.179:50253         <-> 31.13.93.26:443                176 211 kB        124 9591 bytes     300 220 kB      123.134129000        65.4120
10.11.11.179:50272         <-> 172.217.2.226:443              144 135 kB        132 16 kB         276 151 kB      140.335841000        61.9688
10.11.11.217:62550         <-> 172.217.6.162:443              126 120 kB        118 11 kB         244 132 kB      177.549950000        49.7460
10.11.11.179:50225         <-> 216.58.193.142:443             128 145 kB        109 9651 bytes     237 155 kB       90.670171000        36.6001
10.11.11.217:62535         <-> 172.217.12.36:443              121 115 kB        116 10 kB         237 126 kB      158.143059000        98.3462
10.11.11.217:62548         <-> 172.217.12.33:443              121 141 kB        110 9115 bytes     231 150 kB      176.873645000        49.1954
10.11.11.179:50232         <-> 143.204.29.89:80               109 142 kB         97 8109 bytes     206 150 kB       94.665726000        75.4104
10.11.11.217:62532         <-> 172.217.2.226:443              108 122 kB         94 9747 bytes     202 132 kB      154.626872000        22.9093
10.11.11.217:62521         <-> 35.185.55.255:80               102 131 kB         95 9271 bytes     197 140 kB      153.647310000        21.0376
10.11.11.94:56447          <-> 52.218.228.130:80              128 164 kB         65 5419 bytes     193 170 kB       94.671253000       114.2403
10.11.11.217:62549         <-> 172.217.6.162:443               99 131 kB         92 7376 bytes     191 138 kB      177.488017000         0.2064
10.11.11.179:50265         <-> 34.98.72.95:80                 101 136 kB         82 6702 bytes     183 143 kB      130.195983000        70.7514
10.11.11.200:49222         <-> 172.217.1.136:443               88 112 kB         91 7015 bytes     179 119 kB      228.772139000        85.4578
10.11.11.217:62528         <-> 31.13.93.26:443                101 114 kB         77 6197 bytes     178 120 kB      154.343277000        65.3761
